PLOT,REP,ROTATION,TILLAGE,DEPTH,SBD,EC,PH,NO3N,SOC,TN,PMN,POMLF,POMSF,POMT,POMSOM,MBC,MBN
105,1,5,T1,7.5,1.12,0.19,5.96,6.8,-9999,-9999,22.4,1361,5077,6438,11.6,660,43.1
106,1,5,T2,7.5,1.21,0.19,5.85,7.2,-9999,-9999,17.6,1195,6156,7351,11.6,568,61.9
107,1,2,T1,7.5,1.31,0.19,5.97,7.0,24646,2548,33.2,1592,7627,9219,12.4,1002,89.7
108,1,2,T2,7.5,1.26,0.18,5.95,5.7,22973,2413,24.1,1211,5897,7109,10.4,671,53.0
111,1,3,T2,7.5,1.31,0.17,5.94,6.0,17052,2079,9.6,896,4744,5640,9.6,303,28.4
112,1,3,T1,7.5,1.16,0.17,5.71,5.5,-9999,-9999,17.0,1233,5404,6637,12.1,835,42.8
113,1,1,T1,7.5,1.25,0.19,5.75,6.7,17398,2002,13.4,2024,6166,8190,13.8,588,24.2
114,1,1,T2,7.5,1.23,0.21,5.89,9.3,17138,1980,7.3,1401,5417,6818,11.8,403,35.0
117,1,4,T2,7.5,1.23,0.20,5.85,9.5,20327,2044,11.9,654,4422,5076,8.5,609,55.8
118,1,4,T1,7.5,1.16,0.18,5.99,4.2,21893,2195,16.8,1292,5434,6726,10.8,727,52.2
123,1,6,T1,7.5,1.20,0.18,6.20,4.5,17230,1806,17.9,699,4438,5137,9.3,550,36.2
124,1,6,T2,7.5,1.27,0.17,6.15,4.7,18301,2053,15.0,771,4242,5013,8.8,495,25.4
203,2,6,T1,7.5,1.28,0.16,6.10,3.5,17615,2174,17.2,713,4178,4891,8.8,577,40.9
204,2,6,T2,7.5,1.35,0.15,6.07,3.8,17673,2052,24.9,752,4750,5501,9.6,482,35.8
205,2,5,T1,7.5,1.31,0.18,5.94,5.1,17443,1981,18.9,1426,5105,6531,11.4,815,49.2
206,2,5,T2,7.5,1.28,0.17,5.88,3.0,15632,1907,14.5,712,4858,5570,10.1,545,28.1
213,2,4,T1,7.5,1.30,0.17,6.03,3.5,15140,1802,18.4,757,4346,5103,9.5,380,34.8
214,2,4,T2,7.5,1.24,0.18,6.09,4.2,14459,1718,14.5,816,4428,5244,10.1,644,38.6
219,2,3,T2,7.5,1.32,0.17,5.81,5.9,19779,2065,17.8,1737,5212,6950,10.7,834,51.1
220,2,3,T1,7.5,1.19,0.19,5.82,6.2,21954,2199,26.2,1838,6901,8740,13.8,958,74.1
221,2,1,T2,7.5,1.24,0.16,5.76,5.8,23745,2301,20.3,2323,6466,8788,13.5,790,54.1
222,2,1,T1,7.5,1.29,0.16,5.87,4.8,23001,2355,20.4,2417,6369,8787,13.5,772,42.1
223,2,2,T1,7.5,1.30,0.15,5.83,3.5,20806,2238,18.4,1646,6419,8065,13.0,936,45.0
224,2,2,T2,7.5,1.37,0.17,5.96,4.1,20314,2215,17.4,1213,6379,7592,12.7,667,45.4
303,3,3,T2,7.5,1.28,0.16,5.70,4.8,21182,2194,15.7,1166,5926,7091,11.4,553,34.8
304,3,3,T1,7.5,1.29,0.18,5.64,7.8,23078,2355,18.3,1863,7319,9182,14.0,687,29.4
305,3,2,T2,7.5,1.34,0.18,5.78,5.6,22604,2316,17.4,1255,6173,7428,11.0,713,35.7
306,3,2,T1,7.5,1.30,0.18,5.72,7.9,22521,2267,24.7,691,7565,8255,12.6,766,44.0
309,3,4,T1,7.5,1.30,0.17,5.84,5.3,21930,2247,13.6,856,5136,5992,9.7,511,26.6
310,3,4,T2,7.5,1.37,0.17,5.88,4.9,22100,2297,13.7,1214,5239,6453,9.8,672,30.7
313,3,1,T2,7.5,1.31,0.18,5.69,7.1,22333,2352,16.3,1625,6996,8621,13.0,778,35.5
314,3,1,T1,7.5,1.26,0.18,5.64,5.7,20326,2150,18.5,2105,6667,8772,14.0,707,50.2
317,3,6,T1,7.5,1.28,0.16,5.90,4.9,21354,2241,13.5,1264,5511,6775,11.6,545,9.9
318,3,6,T2,7.5,1.29,0.16,5.91,4.3,20387,2124,13.3,1371,5451,6821,11.4,724,20.3
321,3,5,T1,7.5,1.29,0.18,5.83,6.8,19685,2172,17.0,1273,5648,6921,11.6,681,47.0
322,3,5,T2,7.5,1.34,0.17,5.87,5.6,20348,2246,13.9,984,5192,6176,10.4,707,24.8
105,1,5,T1,15,1.36,0.14,6.43,0.8,20257,2209,20.9,-9999,-9999,-9999,-9999,-9999,-9999
106,1,5,T2,15,1.36,0.14,6.02,1.7,22334,2199,14.6,-9999,-9999,-9999,-9999,-9999,-9999
107,1,2,T1,15,1.37,0.15,6.19,1.5,23121,2358,20.3,-9999,-9999,-9999,-9999,-9999,-9999
108,1,2,T2,15,1.35,0.13,6.19,1.4,22502,2324,13.9,-9999,-9999,-9999,-9999,-9999,-9999
111,1,3,T2,15,1.42,0.13,6.17,0.9,16579,2000,10.5,-9999,-9999,-9999,-9999,-9999,-9999
112,1,3,T1,15,1.42,0.14,6.26,1.0,17860,2000,15.7,-9999,-9999,-9999,-9999,-9999,-9999
113,1,1,T1,15,1.43,0.14,6.36,1.5,16142,1971,16.1,-9999,-9999,-9999,-9999,-9999,-9999
114,1,1,T2,15,1.32,0.14,6.10,1.1,15323,1790,12.5,-9999,-9999,-9999,-9999,-9999,-9999
117,1,4,T2,15,1.34,0.13,6.10,1.1,21326,2207,7.4,-9999,-9999,-9999,-9999,-9999,-9999
118,1,4,T1,15,1.32,0.14,6.05,1.3,23585,2311,12.2,-9999,-9999,-9999,-9999,-9999,-9999
123,1,6,T1,15,1.41,0.15,6.72,0.9,17797,1975,13.6,-9999,-9999,-9999,-9999,-9999,-9999
124,1,6,T2,15,1.38,0.15,6.32,1.1,18662,1995,14.7,-9999,-9999,-9999,-9999,-9999,-9999
203,2,6,T1,15,1.40,0.14,6.21,1.1,18380,2076,7.7,-9999,-9999,-9999,-9999,-9999,-9999
204,2,6,T2,15,1.40,0.13,6.33,1.1,18088,1951,14.1,-9999,-9999,-9999,-9999,-9999,-9999
205,2,5,T1,15,1.46,0.13,6.23,1.4,16100,1849,15.6,-9999,-9999,-9999,-9999,-9999,-9999
206,2,5,T2,15,1.46,0.13,6.32,1.0,15230,1882,13.9,-9999,-9999,-9999,-9999,-9999,-9999
213,2,4,T1,15,1.44,0.16,6.46,0.8,14495,1856,11.4,-9999,-9999,-9999,-9999,-9999,-9999
214,2,4,T2,15,1.30,0.14,6.28,0.8,13212,1685,7.8,-9999,-9999,-9999,-9999,-9999,-9999
219,2,3,T2,15,1.44,0.13,6.45,1.1,19742,2060,21.1,-9999,-9999,-9999,-9999,-9999,-9999
