PLOT,REP,TRT,DEPTH,SBD,EC,PH,NO3,SOC,TN,POMC,POMN,POMC_TC,POMN_TN,PMN,MBC,MBN,INF,WSA
35,1,cfc,7.5,1.18,0.11,6.75,1.7,15286,1564,2480,206,16.2,13.2,28.1,548,41.3,15.1,16.4
35,1,cfc,15,1.42,0.15,6.77,1.8,16374,1741,1606,163,9.8,9.3,11.4,-9999,-9999,-9999,-9999
35,1,cfc,30,1.32,0.23,7.05,6.1,23568,2710,2757,319,11.7,11.8,6.2,-9999,-9999,-9999,-9999
70,1,ccn,7.5,1.09,0.21,6.28,4.3,25128,2310,8453,609,33.6,26.3,58.4,1200,100.8,95.3,50.7
70,1,ccn,15,1.34,0.16,6.70,1.9,21671,2000,2506,206,11.6,10.3,26.1,-9999,-9999,-9999,-9999
70,1,ccn,30,1.31,0.18,6.95,2.8,26957,2919,2732,298,10.1,10.2,22.7,-9999,-9999,-9999,-9999
106,2,ccn,7.5,1.07,0.17,6.17,1.5,22712,2135,7482,497,32.9,23.3,58.3,1054,95,95.3,41.3
106,2,ccn,15,1.33,0.16,6.21,1.3,23204,2121,3037,239,13.1,11.3,22.0,-9999,-9999,-9999,-9999
106,2,ccn,30,1.30,0.19,6.42,4.4,44490,4108,8082,647,18.2,15.8,39.3,-9999,-9999,-9999,-9999
180,2,cfc,7.5,1.18,0.15,6.31,1.7,14246,1504,2344,191,16.5,12.7,12.0,353,32.2,19.1,12.5
180,2,cfc,15,1.46,0.15,6.72,1.5,16244,1712,1129,123,7.0,7.2,14.4,-9999,-9999,-9999,-9999
180,2,cfc,30,1.38,0.30,7.06,8.5,20620,2351,3821,414,18.5,17.6,11.5,-9999,-9999,-9999,-9999
192,3,ccn,7.5,1.24,0.19,6.04,3.2,23250,2284,6832,521,29.4,22.8,52.7,777,104.1,37.2,49.9
192,3,ccn,15,1.42,0.16,6.83,1.6,19211,1923,1822,155,9.5,8.1,28.8,-9999,-9999,-9999,-9999
192,3,ccn,30,1.34,0.20,7.01,4.3,29974,3103,3593,364,12.0,11.7,30.2,-9999,-9999,-9999,-9999
260,3,cfc,7.5,1.20,0.17,6.22,2.3,19721,1817,3020,229,15.3,12.6,32.3,371,41.9,26.7,13.0
260,3,cfc,15,1.37,0.18,6.51,2.8,21168,1925,1600,139,7.6,7.2,17.3,-9999,-9999,-9999,-9999
260,3,cfc,30,1.32,0.24,6.88,8.4,30123,3095,2430,259,8.1,8.4,17.3,-9999,-9999,-9999,-9999
NA,1,ModGraze,7.5,0.89,0.27,6.28,7.5,32332,2696,14707,979,45.5,36.3,91.7,1533,153.3,29.3,93.8
NA,1,ModGraze,15,0.98,0.18,6.40,0.4,23088,2083,5577,380,24.2,18.2,47.1,-9999,-9999,-9999,-9999
NA,1,ModGraze,30,1.04,0.19,6.74,0.3,36675,3380,6394,455,17.4,13.4,53.1,-9999,-9999,-9999,-9999
NA,2,ModGraze,7.5,0.83,0.26,6.19,7.4,32412,2544,16059,1021,49.5,40.1,116.8,1800,155.7,17.9,91.8
NA,2,ModGraze,15,1.07,0.16,6.47,0.1,23178,2124,4988,301,21.5,14.2,42.7,-9999,-9999,-9999,-9999
NA,2,ModGraze,30,1.14,0.17,6.85,-9999,29556,2934,6660,545,22.5,18.6,36.6,-9999,-9999,-9999,-9999
NA,3,ModGraze,7.5,0.82,0.25,6.33,6.7,29938,2424,16537,1112,55.2,45.9,48.7,1461,134.2,40.1,92.8
NA,3,ModGraze,15,1.04,0.18,6.40,0.5,22322,1973,9088,666,40.7,33.8,35.0,-9999,-9999,-9999,-9999
NA,3,ModGraze,30,1.04,0.17,6.84,0.5,32882,2982,8593,669,26.1,22.4,50.8,-9999,-9999,-9999,-9999
