DATEDMY,PNRGINDEXM
1/1/1992,44.45223526
2/1/1992,44.01285672
3/1/1992,43.8285851
4/1/1992,46.15569793
5/1/1992,48.20526164
6/1/1992,50.65019856
7/1/1992,49.90106871
8/1/1992,49.70990818
9/1/1992,51.18115229
10/1/1992,51.35713526
11/1/1992,48.79331256
12/1/1992,46.99151785
1/1/1993,45.78558564
2/1/1993,46.47820816
3/1/1993,48.07595774
4/1/1993,48.54077228
5/1/1993,47.47958964
6/1/1993,45.8424207
7/1/1993,43.94335141
8/1/1993,44.7541962
9/1/1993,43.52369893
10/1/1993,43.75411019
11/1/1993,42.26063064
12/1/1993,38.4499907
1/1/1994,39.81727676
2/1/1994,40.41732292
3/1/1994,38.31225935
4/1/1994,40.65449063
5/1/1994,42.61171425
6/1/1994,44.49491953
7/1/1994,45.84629021
8/1/1994,43.78164252
9/1/1994,42.13168631
10/1/1994,42.94293786
11/1/1994,44.06718092
12/1/1994,43.037615
1/1/1995,44.04510986
2/1/1995,45.17219507
3/1/1995,45.38232134
4/1/1995,47.80084715
5/1/1995,47.74662351
6/1/1995,45.82712125
7/1/1995,43.38380229
8/1/1995,44.04298146
9/1/1995,44.72082096
10/1/1995,44.1188199
11/1/1995,45.57136658
12/1/1995,49.653389
1/1/1996,50.0136635
2/1/1996,52.2364353
3/1/1996,52.43387038
4/1/1996,53.07101942
5/1/1996,50.29886455
6/1/1996,50.24315371
7/1/1996,51.74555657
8/1/1996,52.01510171
9/1/1996,55.43703907
10/1/1996,59.37202622
11/1/1996,60.50478012
12/1/1996,64.29493998
1/1/1997,61.48457873
2/1/1997,53.48083096
3/1/1997,50.53914302
4/1/1997,47.81372946
5/1/1997,50.70120342
6/1/1997,48.11979439
7/1/1997,48.37175073
8/1/1997,49.75169609
9/1/1997,50.86891162
10/1/1997,53.42940447
11/1/1997,51.29563175
12/1/1997,46.37365551
1/1/1998,42.12822232
2/1/1998,40.32975024
3/1/1998,38.40863679
4/1/1998,39.45977848
5/1/1998,39.04934837
6/1/1998,36.89931854
7/1/1998,36.70141338
8/1/1998,35.11817696
9/1/1998,37.65797809
10/1/1998,36.44446929
11/1/1998,34.51499903
12/1/1998,30.83601434
1/1/1999,32.54672067
2/1/1999,31.35367023
3/1/1999,35.42184908
4/1/1999,40.65128636
5/1/1999,41.88406479
6/1/1999,42.82764518
7/1/1999,47.25296176
8/1/1999,51.27360799
9/1/1999,55.40367682
10/1/1999,54.96745407
11/1/1999,57.75039265
12/1/1999,59.07866992
1/1/2000,62.23922606
2/1/2000,66.42329992
3/1/2000,66.68511584
4/1/2000,61.41695497
5/1/2000,68.6714688
6/1/2000,75.15070694
7/1/2000,72.6865538
8/1/2000,76.79919472
9/1/2000,82.93481124
10/1/2000,82.30558404
11/1/2000,84.81251584
12/1/2000,83.32075701
1/1/2001,82.36710483
2/1/2001,76.51102776
3/1/2001,72.12703138
4/1/2001,73.10531039
5/1/2001,73.01805363
6/1/2001,70.77130252
7/1/2001,64.64799806
8/1/2001,65.74788252
9/1/2001,62.87325734
10/1/2001,55.5171263
11/1/2001,50.12373538
12/1/2001,49.46783056
1/1/2002,49.44617173
2/1/2002,51.14364824
3/1/2002,59.39271382
4/1/2002,63.22165733
5/1/2002,63.945096
6/1/2002,61.06330151
7/1/2002,63.16659785
8/1/2002,64.12688741
9/1/2002,68.52061894
10/1/2002,69.42297787
11/1/2002,64.68974463
12/1/2002,72.09220228
1/1/2003,79.45416585
2/1/2003,90.88926425
3/1/2003,80.5921948
4/1/2003,70.8471973
5/1/2003,72.87867606
6/1/2003,76.2041202
7/1/2003,75.2613839
8/1/2003,77.17778178
9/1/2003,71.98423802
10/1/2003,75.71767477
11/1/2003,75.94024991
12/1/2003,82.27373468
1/1/2004,85.61538402
2/1/2004,83.78343704
3/1/2004,86.84336013
4/1/2004,89.17975241
5/1/2004,97.56699001
6/1/2004,95.46029217
7/1/2004,99.65568
8/1/2004,105.1695492
9/1/2004,103.9847939
10/1/2004,117.2824704
11/1/2004,109.004535
12/1/2004,103.4688774
1/1/2005,108.9633429
2/1/2005,110.9728498
3/1/2005,124.990154
4/1/2005,126.2693034
5/1/2005,119.6884745
6/1/2005,130.9093782
7/1/2005,137.4581751
8/1/2005,151.5215637
9/1/2005,160.7617149
10/1/2005,158.7012175
11/1/2005,143.8031934
12/1/2005,152.8950452
1/1/2006,152.3493131
2/1/2006,146.0480076
3/1/2006,147.2888231
4/1/2006,160.522028
5/1/2006,159.9125105
6/1/2006,159.6295108
7/1/2006,166.9248004
8/1/2006,167.8974927
9/1/2006,145.6497705
10/1/2006,140.2950311
11/1/2006,144.6434401
12/1/2006,147.2606672
1/1/2007,134.7130408
2/1/2007,145.0268252
3/1/2007,148.298187
4/1/2007,156.8529611
5/1/2007,157.7164766
6/1/2007,162.3271626
7/1/2007,168.8222751
8/1/2007,164.3798612
9/1/2007,174.9526992
10/1/2007,189.041557
11/1/2007,207.6594535
12/1/2007,206.5328524
1/1/2008,212.9525653
2/1/2008,221.2074097
3/1/2008,236.7949996
4/1/2008,253.5739363
5/1/2008,281.9208245
6/1/2008,303.7452944
7/1/2008,308.9458451
8/1/2008,268.9429999
9/1/2008,241.1577957
10/1/2008,188.5680813
11/1/2008,150.2007825
12/1/2008,122.672243
1/1/2009,125.3782767
2/1/2009,117.7224208
3/1/2009,118.8439012
4/1/2009,119.2051997
5/1/2009,133.9799354
6/1/2009,152.9829532
7/1/2009,143.4643139
8/1/2009,154.867718
9/1/2009,148.5636694
10/1/2009,161.888195
11/1/2009,167.2824052
12/1/2009,169.0813977
1/1/2010,178.4194707
2/1/2010,172.4190065
3/1/2010,177.0439251
4/1/2010,185.8342048
5/1/2010,171.3818347
6/1/2010,171.5500339
7/1/2010,170.9090866
8/1/2010,172.0068198
9/1/2010,171.9780275
10/1/2010,181.7494239
11/1/2010,188.4304798
12/1/2010,200.5964398
1/1/2011,208.932672
2/1/2011,216.0005286
3/1/2011,233.8418219
4/1/2011,250.730027
5/1/2011,238.7867845
6/1/2011,236.2659667
7/1/2011,241.7040742
8/1/2011,229.0294314
9/1/2011,229.2913604
10/1/2011,227.7231863
11/1/2011,234.3035177
12/1/2011,231.5318304
1/1/2012,234.561993
2/1/2012,242.4921069
3/1/2012,251.4775866
4/1/2012,244.6024404
5/1/2012,226.8114179
6/1/2012,203.8460622
7/1/2012,213.5501841
8/1/2012,227.100652
9/1/2012,228.6041742
10/1/2012,223.5822818
11/1/2012,220.2390286
12/1/2012,220.5837819
1/1/2013,226.6099927
2/1/2013,230.7186064
3/1/2013,224.6344185
4/1/2013,219.154641
5/1/2013,218.7798777
6/1/2013,218.3380947
7/1/2013,225.4750158
8/1/2013,230.5879515
9/1/2013,232.5375938
10/1/2013,227.8989781
11/1/2013,223.8724879
12/1/2013,231.9510534
1/1/2014,227.6182498
2/1/2014,233.574505
3/1/2014,227.2007704
4/1/2014,229.0257548
5/1/2014,229.4484815
6/1/2014,233.6033966
7/1/2014,225.1629052
8/1/2014,216.4315501
9/1/2014,209.1286676
10/1/2014,191.5322053
11/1/2014,177.3821248
12/1/2014,147.7397321
1/1/2015,122.0363238
2/1/2015,133.6474045
3/1/2015,128.3077253
4/1/2015,130.5288003
5/1/2015,137.4834937
6/1/2015,134.1569015
7/1/2015,122.938901
8/1/2015,109.2272918
9/1/2015,109.025266
10/1/2015,108.899219
11/1/2015,101.2661419
12/1/2015,90.26798488
1/1/2016,77.63546853
2/1/2016,77.78874283
3/1/2016,87.66561849
4/1/2016,92.54372889
5/1/2016,101.4836666
6/1/2016,106.6929909
7/1/2016,101.772659
8/1/2016,103.3763099
9/1/2016,104.6335561
10/1/2016,115.2609603
11/1/2016,108.4442928
12/1/2016,122.7020056
1/1/2017,127.8266965
2/1/2017,125.6176068
3/1/2017,115.7725538
4/1/2017,119.2257593
5/1/2017,114.4622395
6/1/2017,107.9063626
7/1/2017,111.2720648
8/1/2017,117.6240862
9/1/2017,125.5725159
10/1/2017,129.9250883
11/1/2017,140.765423
12/1/2017,143.6379792
1/1/2018,152.8127404
2/1/2018,147.221808
3/1/2018,147.2821102
4/1/2018,151.7562338
5/1/2018,162.8982547
6/1/2018,163.1751418
7/1/2018,164.473378
8/1/2018,163.1678465
9/1/2018,172.6057836
10/1/2018,172.2875449
11/1/2018,148.043063
12/1/2018,132.6931816
1/1/2019,132.8378972
2/1/2019,135.1878033
3/1/2019,137.1353418
4/1/2019,142.6788977
5/1/2019,137.6630885
6/1/2019,122.0758189
7/1/2019,125.7324603
8/1/2019,117.138292
9/1/2019,122.4373018
10/1/2019,119.7971672
11/1/2019,127.6314617
12/1/2019,131.10422
1/1/2020,126.1420732
2/1/2020,109.2893591
3/1/2020,72.9941675
4/1/2020,55.89051244
5/1/2020,68.01149929
6/1/2020,82.39756359
7/1/2020,86.41654736
8/1/2020,93.22718575
9/1/2020,91.29755536
10/1/2020,95.40285718
11/1/2020,100.8954115
12/1/2020,118.4939795
1/1/2021,138.4462725
2/1/2021,137.6649083
3/1/2021,142.1365483
4/1/2021,143.1937142
5/1/2021,154.5574743
6/1/2021,170.8951411
7/1/2021,181.3499161
8/1/2021,183.8065148
9/1/2021,212.8790642
10/1/2021,256.4607542
11/1/2021,235.6833316
12/1/2021,239.9910325
1/1/2022,241.3773783
2/1/2022,260.0483626
3/1/2022,331.7837593
4/1/2022,300.5331779
5/1/2022,306.6749792
6/1/2022,328.1234804
7/1/2022,343.8099974
8/1/2022,376.4120826
9/1/2022,330.1495859
10/1/2022,259.8586762
11/1/2022,256.8597387
12/1/2022,258.501791
1/1/2023,223.272585
2/1/2023,201.7183933
3/1/2023,186.0231551
4/1/2023,192.3685227
5/1/2023,169.2259139
6/1/2023,165.8229234
7/1/2023,174.9771808
8/1/2023,188.2219404
9/1/2023,204.5525243
10/1/2023,202.8911369
11/1/2023,189.8018052
12/1/2023,175.1840981
1/1/2024,173.6640205
2/1/2024,173.2323324
3/1/2024,179.8155651
4/1/2024,188.5315562
5/1/2024,182.8789596
6/1/2024,186.0419237
7/1/2024,185.9345288
8/1/2024,181.7051645
9/1/2024,170.4434378
