DATE,CPGREN01USM659N
1/1/1958,1.877934
2/1/1958,-0.4651163
3/1/1958,-0.462963
4/1/1958,-0.9302326
5/1/1958,0
6/1/1958,0
7/1/1958,0.4651163
8/1/1958,1.869159
9/1/1958,0.9302326
10/1/1958,1.401869
11/1/1958,-0.462963
12/1/1958,-0.9259259
1/1/1959,-0.921659
2/1/1959,1.401869
3/1/1959,1.395349
4/1/1959,2.347418
5/1/1959,1.401869
6/1/1959,1.401869
7/1/1959,0.462963
8/1/1959,0.4587156
9/1/1959,1.382488
10/1/1959,2.764977
11/1/1959,3.72093
12/1/1959,4.672897
1/1/1960,4.186047
2/1/1960,2.764977
3/1/1960,2.293578
4/1/1960,2.293578
5/1/1960,1.843318
6/1/1960,2.764977
7/1/1960,3.225806
8/1/1960,3.196347
9/1/1960,2.727273
10/1/1960,0.896861
11/1/1960,1.793722
12/1/1960,1.339286
1/1/1961,1.785714
2/1/1961,1.793722
3/1/1961,1.793722
4/1/1961,-0.4484305
5/1/1961,0.4524887
6/1/1961,0
7/1/1961,0
8/1/1961,-0.4424779
9/1/1961,0
10/1/1961,0
11/1/1961,-0.4405286
12/1/1961,-1.321586
1/1/1962,-1.315789
2/1/1962,-0.4405286
3/1/1962,-0.8810573
4/1/1962,2.252252
5/1/1962,1.351351
6/1/1962,0.4484305
7/1/1962,-0.8928571
8/1/1962,-0.4444444
9/1/1962,0.8849558
10/1/1962,1.333333
11/1/1962,0.4424779
12/1/1962,2.232143
1/1/1963,1.777778
2/1/1963,0.4424779
3/1/1963,0.8888889
4/1/1963,-0.8810573
5/1/1963,0
6/1/1963,0
7/1/1963,1.801802
8/1/1963,0.8928571
9/1/1963,-0.877193
10/1/1963,-0.4385965
11/1/1963,-0.4405286
12/1/1963,-0.8733624
1/1/1964,0
2/1/1964,-2.202643
3/1/1964,-0.4405286
4/1/1964,0
5/1/1964,-0.4444444
6/1/1964,0.4464286
7/1/1964,-0.4424779
8/1/1964,0
9/1/1964,-0.4424779
10/1/1964,-0.8810573
11/1/1964,-0.4424779
12/1/1964,0
1/1/1965,-0.4366812
2/1/1965,2.252252
3/1/1965,0.4424779
4/1/1965,1.777778
5/1/1965,2.678571
6/1/1965,2.222222
7/1/1965,2.222222
8/1/1965,1.769912
9/1/1965,2.666667
10/1/1965,2.222222
11/1/1965,2.666667
12/1/1965,1.762115
1/1/1966,1.315789
2/1/1966,2.202643
3/1/1966,2.202643
4/1/1966,0.8733624
5/1/1966,0.8695652
6/1/1966,1.304348
7/1/1966,1.73913
8/1/1966,1.304348
9/1/1966,1.298701
10/1/1966,1.73913
11/1/1966,1.731602
12/1/1966,1.731602
1/1/1967,2.164502
2/1/1967,2.155172
3/1/1967,2.155172
4/1/1967,3.463203
5/1/1967,3.017241
6/1/1967,2.145923
7/1/1967,1.709402
8/1/1967,2.575107
9/1/1967,2.564103
10/1/1967,2.136752
11/1/1967,2.12766
12/1/1967,1.702128
1/1/1968,1.694915
2/1/1968,1.687764
3/1/1968,1.687764
4/1/1968,0.41841
5/1/1968,0.8368201
6/1/1968,1.680672
7/1/1968,1.680672
8/1/1968,1.67364
9/1/1968,1.25
10/1/1968,1.67364
