DATE,MPU9900641
1987-01-01,55.953
1988-01-01,56.949
1989-01-01,58.782
1990-01-01,59.020
1991-01-01,55.749
1992-01-01,54.670
1993-01-01,53.317
1994-01-01,52.981
1995-01-01,53.695
1996-01-01,53.234
1997-01-01,54.479
1998-01-01,52.359
1999-01-01,75.506
2000-01-01,96.176
2001-01-01,117.974
2002-01-01,76.038
2003-01-01,73.189
2004-01-01,81.163
2005-01-01,112.768
2006-01-01,98.458
2007-01-01,114.056
2008-01-01,138.020
2009-01-01,85.353
2010-01-01,90.495
2011-01-01,107.267
2012-01-01,103.217
2013-01-01,110.619
2014-01-01,108.844
2015-01-01,85.732
2016-01-01,87.645
2017-01-01,88.762
2018-01-01,92.232
2019-01-01,86.885
2020-01-01,69.348
2021-01-01,86.609
2022-01-01,113.017
