DATE,DELCRC1A027NBEA
1/1/1929,0.616
1/1/1930,0.66
1/1/1931,0.674
1/1/1932,0.662
1/1/1933,0.645
1/1/1934,0.671
1/1/1935,0.697
1/1/1936,0.726
1/1/1937,0.766
1/1/1938,0.81
1/1/1939,0.849
1/1/1940,0.91
1/1/1941,0.965
1/1/1942,1.017
1/1/1943,1.045
1/1/1944,1.125
1/1/1945,1.194
1/1/1946,1.328
1/1/1947,1.473
1/1/1948,1.668
1/1/1949,1.879
1/1/1950,2.138
1/1/1951,2.395
1/1/1952,2.652
1/1/1953,2.932
1/1/1954,3.213
1/1/1955,3.496
1/1/1956,3.802
1/1/1957,4.097
1/1/1958,4.381
1/1/1959,4.714
1/1/1960,5.061
1/1/1961,5.327
1/1/1962,5.678
1/1/1963,5.95
1/1/1964,6.294
1/1/1965,6.607
1/1/1966,7.043
1/1/1967,7.527
1/1/1968,8.093
1/1/1969,8.772
1/1/1970,9.604
1/1/1971,10.622
1/1/1972,11.803
1/1/1973,13.303
1/1/1974,16.101
1/1/1975,19.388
1/1/1976,21.633
1/1/1977,25.174
1/1/1978,28.042
1/1/1979,30.741
1/1/1980,37.187
1/1/1981,42.472
1/1/1982,47.018
1/1/1983,51.576
1/1/1984,55.321
1/1/1985,59.254
1/1/1986,60.621
1/1/1987,63.253
1/1/1988,66.834
1/1/1989,69.681
1/1/1990,71.809
1/1/1991,76.636
1/1/1992,76.774
1/1/1993,82.749
1/1/1994,84.505
1/1/1995,87.581
1/1/1996,90.491
1/1/1997,90.704
1/1/1998,93.408
1/1/1999,93.578
1/1/2000,98.359
1/1/2001,103.368
1/1/2002,107.106
1/1/2003,111.476
1/1/2004,115.754
1/1/2005,128.524
1/1/2006,140.654
1/1/2007,148.295
1/1/2008,155.489
1/1/2009,157.031
1/1/2010,166.757
1/1/2011,166.686
1/1/2012,163.246
1/1/2013,169.103
1/1/2014,176.141
1/1/2015,177.579
1/1/2016,177.025
1/1/2017,177.661
1/1/2018,190.685
1/1/2019,187.309
1/1/2020,191.586
1/1/2021,200.699
1/1/2022,234.797
1/1/2023,239.4
