DATE,A939RX0Q048SBEA
1947-01-01,15157.500000000000
1948-01-01,15512.250000000000
1949-01-01,15161.750000000000
1950-01-01,16206.000000000000
1951-01-01,17216.000000000000
1952-01-01,17614.750000000000
1953-01-01,18140.250000000000
1954-01-01,17720.250000000000
1955-01-01,18653.000000000000
1956-01-01,18717.750000000000
1957-01-01,18772.000000000000
1958-01-01,18324.000000000000
1959-01-01,19264.500000000000
1960-01-01,19365.250000000000
1961-01-01,19537.500000000000
1962-01-01,20419.250000000000
1963-01-01,21003.500000000000
1964-01-01,21910.250000000000
1965-01-01,23042.750000000000
1966-01-01,24282.500000000000
1967-01-01,24678.250000000000
1968-01-01,25633.500000000000
1969-01-01,26175.000000000000
1970-01-01,25922.750000000000
1971-01-01,26440.250000000000
1972-01-01,27532.750000000000
1973-01-01,28811.500000000000
1974-01-01,28394.250000000000
1975-01-01,28061.250000000000
1976-01-01,29288.250000000000
1977-01-01,30335.500000000000
1978-01-01,31677.500000000000
1979-01-01,32322.500000000000
1980-01-01,31869.250000000000
1981-01-01,32353.500000000000
1982-01-01,31467.750000000000
1983-01-01,32611.250000000000
1984-01-01,34667.000000000000
1985-01-01,35792.750000000000
1986-01-01,36698.000000000000
1987-01-01,37627.250000000000
1988-01-01,38844.250000000000
1989-01-01,39892.500000000000
1990-01-01,40192.000000000000
1991-01-01,39617.000000000000
1992-01-01,40470.250000000000
1993-01-01,41047.750000000000
1994-01-01,42187.250000000000
1995-01-01,42810.750000000000
1996-01-01,43910.250000000000
1997-01-01,45317.750000000000
1998-01-01,46801.500000000000
1999-01-01,48485.250000000000
2000-01-01,49914.500000000000
2001-01-01,49893.250000000000
2002-01-01,50260.250000000000
2003-01-01,51189.000000000000
2004-01-01,52681.250000000000
2005-01-01,54014.250000000000
2006-01-01,54993.500000000000
2007-01-01,55560.000000000000
2008-01-01,55105.250000000000
2009-01-01,53212.500000000000
2010-01-01,54188.250000000000
2011-01-01,54603.000000000000
2012-01-01,55422.250000000000
2013-01-01,56171.750000000000
2014-01-01,57137.750000000000
2015-01-01,58363.250000000000
2016-01-01,58967.750000000000
2017-01-01,60000.750000000000
2018-01-01,61417.500000000000
2019-01-01,62676.500000000000
2020-01-01,61083.500000000000
2021-01-01,64670.750000000000
2022-01-01,66057.250000000000
2023-01-01,67632.250000000000
2024-01-01,.
