DATE,PPIDES
2009-11-01,102.8
2009-12-01,103.0
2010-01-01,107.6
2010-02-01,103.6
2010-03-01,104.1
2010-04-01,104.6
2010-05-01,104.6
2010-06-01,104.6
2010-07-01,104.2
2010-08-01,106.7
2010-09-01,107.2
2010-10-01,111.1
2010-11-01,112.7
2010-12-01,116.0
2011-01-01,118.3
2011-02-01,120.1
2011-03-01,124.1
2011-04-01,127.7
2011-05-01,130.9
2011-06-01,128.1
2011-07-01,128.4
2011-08-01,125.3
2011-09-01,128.2
2011-10-01,126.9
2011-11-01,128.0
2011-12-01,127.0
2012-01-01,127.7
2012-02-01,129.1
2012-03-01,129.1
2012-04-01,128.1
2012-05-01,124.1
2012-06-01,120.4
2012-07-01,119.6
2012-08-01,125.4
2012-09-01,130.3
2012-10-01,130.6
2012-11-01,126.0
2012-12-01,125.1
2013-01-01,126.7
2013-02-01,130.7
2013-03-01,126.0
2013-04-01,123.2
2013-05-01,123.8
2013-06-01,123.9
2013-07-01,123.5
2013-08-01,125.3
2013-09-01,124.4
2013-10-01,124.7
2013-11-01,125.0
2013-12-01,126.3
2014-01-01,128.0
2014-02-01,128.3
2014-03-01,129.0
2014-04-01,128.8
2014-05-01,127.3
2014-06-01,127.3
2014-07-01,126.0
2014-08-01,125.7
2014-09-01,123.5
2014-10-01,119.6
2014-11-01,117.2
2014-12-01,108.8
2015-01-01,98.5
2015-02-01,99.2
2015-03-01,101.1
2015-04-01,98.3
2015-05-01,103.2
2015-06-01,104.0
2015-07-01,103.4
2015-08-01,100.7
2015-09-01,94.8
2015-10-01,94.2
2015-11-01,94.1
2015-12-01,90.8
2016-01-01,87.3
2016-02-01,83.6
2016-03-01,85.7
2016-04-01,87.0
2016-05-01,89.1
2016-06-01,91.8
2016-07-01,91.9
2016-08-01,90.7
2016-09-01,92.0
2016-10-01,94.6
2016-11-01,93.9
2016-12-01,96.5
2017-01-01,99.7
2017-02-01,100.4
2017-03-01,98.9
2017-04-01,99.1
2017-05-01,95.9
2017-06-01,95.2
2017-07-01,95.3
2017-08-01,98.2
2017-09-01,102.3
2017-10-01,102.5
2017-11-01,105.3
2017-12-01,107.1
2018-01-01,108.0
2018-02-01,109.8
2018-03-01,107.1
2018-04-01,108.5
2018-05-01,110.6
2018-06-01,111.8
2018-07-01,111.2
2018-08-01,111.9
2018-09-01,112.9
2018-10-01,115.1
2018-11-01,109.6
2018-12-01,103.9
2019-01-01,99.2
2019-02-01,101.9
2019-03-01,105.4
2019-04-01,109.4
2019-05-01,108.1
2019-06-01,104.7
2019-07-01,105.5
2019-08-01,104.7
2019-09-01,103.7
2019-10-01,105.3
2019-11-01,104.7
2019-12-01,107.4
2020-01-01,106.3
2020-02-01,102.1
2020-03-01,91.7
2020-04-01,76.3
2020-05-01,79.3
2020-06-01,86.8
2020-07-01,90.4
2020-08-01,91.7
2020-09-01,91.9
2020-10-01,92.1
2020-11-01,93.2
2020-12-01,100.2
2021-01-01,103.7
2021-02-01,108.1
2021-03-01,112.9
2021-04-01,112.4
2021-05-01,114.3
2021-06-01,117.4
2021-07-01,120.244
2021-08-01,121.803
2021-09-01,125.832
2021-10-01,131.510
2021-11-01,133.818
2021-12-01,133.899
2022-01-01,137.263
2022-02-01,143.970
2022-03-01,154.368
2022-04-01,156.308
2022-05-01,165.048
2022-06-01,178.865
2022-07-01,163.253
2022-08-01,154.412
2022-09-01,156.189
2022-10-01,159.055
2022-11-01,155.534
2022-12-01,145.951
2023-01-01,152.825
2023-02-01,150.257
2023-03-01,143.272
2023-04-01,143.151
2023-05-01,135.406
2023-06-01,135.983
2023-07-01,137.020
2023-08-01,149.155
2023-09-01,153.943
2023-10-01,144.051
2023-11-01,141.212
2023-12-01,140.056
2024-01-01,138.482
2024-02-01,143.877
2024-03-01,142.137
2024-04-01,144.648
2024-05-01,137.965
2024-06-01,135.223
2024-07-01,137.514
2024-08-01,136.043
2024-09-01,132.291
2024-10-01,131.830
