DATE,CUSR0000SAH21
1/1/1967,21.41666667
1/1/1968,21.70833333
1/1/1969,22.13333333
1/1/1970,23.11666667
1/1/1971,24.7
1/1/1972,25.71666667
1/1/1973,27.50833333
1/1/1974,34.41666667
1/1/1975,39.375
1/1/1976,43.325
1/1/1977,48.95
1/1/1978,52.75
1/1/1979,61.125
1/1/1980,74.55833333
1/1/1981,86.83333333
1/1/1982,95.21666667
1/1/1983,100.0833333
1/1/1984,103.6
1/1/1985,104.1666667
1/1/1986,98.825
1/1/1987,97.31666667
1/1/1988,97.99166667
1/1/1989,100.8916667
1/1/1990,104.4583333
1/1/1991,106.7
1/1/1992,108.0666667
1/1/1993,111.2
1/1/1994,111.6666667
1/1/1995,111.4916667
1/1/1996,115.2333333
1/1/1997,117.85
1/1/1998,113.7166667
1/1/1999,113.4833333
1/1/2000,122.75
1/1/2001,135.3583333
1/1/2002,127.275
1/1/2003,138.2083333
1/1/2004,144.4083333
1/1/2005,161.5333333
1/1/2006,177.0416667
1/1/2007,181.7649167
1/1/2008,200.802
1/1/2009,188.10425
1/1/2010,189.2754167
1/1/2011,193.67475
1/1/2012,189.3145833
1/1/2013,193.8586667
1/1/2014,202.1939167
1/1/2015,194.6503333
1/1/2016,191.0440833
1/1/2017,198.3051667
1/1/2018,200.8595833
1/1/2019,200.0481667
1/1/2020,199.4811667
1/1/2021,215.2355833
1/1/2022,253.3494167
1/1/2023,257.2283333
1/1/2024,.
