SCH_ID,X1NCESID,W1MATHTCH,W1SCITCH,W3HSTRANS,X1SEX,X1RACE,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMQUINT,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1OCC_STEM1,X1PAR1OCC_STEM2,X1PAR2OCC_STEM1,X1PAR2OCC_STEM2,X1PAREDU,X1FAMINCOME,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT
-5,-5,423.23862,393.169508,353.724466,1,8,0.8304,0.2549,50.4919,59.371,5,0.9997,0.9669,0.8976,0.3126,0.1013,0,-5,4,-5,5,10,1.76,1.31,0.95,0.12,-0.33,1.1,-0.23
-5,-5,329.640843,207.892322,187.999458,2,8,-0.2956,0.2696,35.8045,47.6821,2,0.9714,0.5204,0.1768,0.0582,0.0512,0,-5,0,-5,3,3,-0.57,1.31,0.55,-9,1.69,0.69,-9
-5,-5,231.718703,0,133.91111,2,3,1.2997,0.2555,56.0477,64.2431,5,1,0.9914,0.9838,0.6606,0.2001,0,-5,-7,-5,7,6,-0.57,0.27,0.68,0.86,0.1,-0.05,0.93
-5,-5,261.518593,306.102816,227.845919,2,8,-0.1427,0.2649,38.0888,49.269,3,0.9843,0.6416,0.2459,0.0662,0.0531,0,-5,-7,-5,4,5,0.6,-0.7,0.1,0.19,0.1,0.25,-0.67
-5,-5,169.946035,188.432535,132.164709,1,8,1.1405,0.2312,54.1762,62.5897,5,0.9999,0.9863,0.9686,0.5385,0.1551,0,-5,-7,-5,4,9,0.56,-1.1,0.1,-0.96,-1.88,0.25,-1.5
-5,-5,69.694193,73.594235,55.130501,2,8,0.7106,0.2567,49.0531,58.1268,4,0.9995,0.9539,0.8469,0.2463,0.0886,4,-5,4,-5,3,5,1.16,1.31,1.23,2.08,-7,-7,-7
-5,-5,0,351.440915,321.049669,2,8,-0.1208,0.2616,38.4063,49.496,3,0.9856,0.6573,0.2577,0.0676,0.0535,0,-5,-7,-5,2,4,0.6,1.31,0.1,2.08,-0.89,-1.74,0.16
-5,-5,20.207873,0,59.4382,1,8,0.3732,0.2363,44.9402,54.6249,4,0.9981,0.8892,0.6222,0.1302,0.0667,0,-5,0,-5,7,7,0,-0.7,-1.41,-1.13,0.28,0.25,-0.21
-5,-5,0,0,207.438708,1,8,0.2348,0.2424,43.2048,53.1875,4,0.9966,0.8449,0.5091,0.1044,0.0615,0,-5,0,-5,2,4,0.6,-7,-7,-7,-1.5,0.25,-1.05
-5,-5,354.278169,318.458929,157.675893,2,8,1.2569,0.2317,55.5463,63.7986,5,1,0.9903,0.9806,0.6289,0.1865,0,-5,1,-5,3,4,1.76,-1.33,1.62,-0.18,-1.08,-0.91,-1.38
-5,-5,0,0,37.210673,1,8,0.5539,0.2513,47.1568,56.5005,4,0.9991,0.9301,0.7563,0.1809,0.0764,1,-5,0,-5,5,5,1.76,1.31,1.34,1.35,-7,-7,-7
-5,-5,43.068248,34.990715,19.294253,2,8,1.631,0.2243,59.8627,67.6823,5,1,0.9968,0.9961,0.8513,0.3473,4,-5,5,-5,7,13,0.63,-0.13,0.51,-0.36,-0.33,1.83,0.49
-5,-5,113.86822,121.452023,88.719163,1,8,1.5328,0.2347,58.7471,66.6624,5,1,0.9957,0.9941,0.806,0.2954,4,-5,4,-5,7,13,1.76,0.27,1.62,-1.38,-0.89,1.1,0.16
-5,-5,409.36983,326.269249,0,2,3,-1.7601,0.3513,18.991,32.4783,1,0.1274,0.0282,0.0306,0.0378,0.0464,0,-5,-7,-5,2,2,-1.73,-7,-7,-7,-7,-7,-7
-5,-5,136.853714,158.271519,85.856591,2,8,0.2554,0.2551,43.4663,53.4016,4,0.9969,0.8523,0.526,0.1077,0.0622,0,-5,0,-5,4,11,0.03,-7,-7,-7,0.1,0.38,0.54
-5,-5,287.417559,291.031067,259.53117,2,8,1.2165,0.231,55.0722,63.3795,5,0.9999,0.989,0.977,0.5981,0.1748,5,-5,0,-5,3,3,0.6,0.27,0.1,1.34,0.71,0.25,1.38
-5,-5,0,17.960367,21.445242,1,8,1.2745,0.2565,55.7519,63.9808,5,1,0.9908,0.982,0.642,0.192,0,-5,0,-5,7,4,0.6,0.9,0.1,0.47,0.1,0.67,0.99
-5,-5,292.066223,324.838061,193.256423,1,5,0.3026,0.2333,44.06,53.8914,4,0.9974,0.8682,0.5647,0.1159,0.0638,-8,-5,-8,-5,-8,-8,1.76,0.9,1.62,1.05,-0.33,1.42,0.16
-5,-5,373.261471,292.838682,218.440001,1,8,-0.2202,0.2426,36.9438,48.4647,3,0.9787,0.5825,0.2081,0.0618,0.0521,0,-5,0,-5,3,2,0,-0.7,-0.97,-0.64,-0.33,-0.05,1.38
-5,-5,291.825419,292.84196,258.252943,1,8,0.3274,0.2506,44.3704,54.1491,4,0.9977,0.876,0.585,0.1207,0.0648,0,-5,0,-5,2,10,0.6,0.27,0.49,-9,0.28,-0.05,0.16
-5,-5,0,0,100.833206,1,2,0.6912,0.2702,48.8196,57.9257,4,0.9995,0.9515,0.8372,0.237,0.0868,0,-5,0,-5,5,13,1.19,-0.7,0.78,-0.8,1.69,-0.61,0.5
-5,-5,295.852314,296.882882,234.074528,1,8,0.5286,0.2806,46.8489,56.238,4,0.999,0.9253,0.7392,0.1724,0.0748,0,-5,0,-5,5,4,0,-9,-0.17,0.19,0.1,-0.05,0.09
-5,-5,344.774702,270.489662,218.392271,1,8,-1.2501,0.2438,23.1111,37.7725,1,0.4929,0.0658,0.0399,0.04,0.0469,-8,-5,-8,-5,-8,-8,0,1.31,0.1,0.19,0.1,-0.9,-2.15
-5,-5,5.531581,4.644466,3.931055,2,2,1.5551,0.2583,59.0019,66.894,5,1,0.996,0.9946,0.8172,0.3066,1,-5,0,-5,7,4,0.03,-0.07,0.16,0.17,1.27,-0.89,1.19
-5,-5,0,0,88.726837,2,8,-0.3108,0.2836,35.5713,47.5236,2,0.9697,0.5075,0.1711,0.0576,0.0511,0,-5,0,-5,4,5,0.03,-7,-7,-7,-7,-7,-7
-5,-5,0,0,138.289931,1,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,196.091217,216.725646,169.387643,1,8,-1.5235,0.3111,20.6687,34.9344,1,0.2636,0.0409,0.0335,0.0386,0.0466,0,-5,-7,-5,1,3,-1.73,-0.7,-1.41,-0.96,-0.89,-1.02,0.16
-5,-5,252.620042,272.877808,178.829389,2,8,1.9315,0.2494,63.1015,70.8013,5,1,0.9987,0.999,0.9385,0.5407,0,-5,0,-5,5,7,-1.13,-1.33,-0.17,-0.66,-9,-0.05,-9
-5,-5,0,0,332.717003,2,3,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,201.557954,235.919964,0,2,6,-2.1011,0.407,17.2547,28.9385,1,0.038,0.0175,0.0284,0.0371,0.0463,0,-5,0,-5,2,3,-0.57,-7,-7,-7,-7,-7,-7
