DATE,CPI for All Urban Consumers: All Items Less Food and Energy,U.S. National Home Price Index,Industrial Production: Total Index,"All Employees, Total Nonfarm",Personal Saving Rate
2014-01-01,235.961,161.92100000000000,99.9899,137551,5.2
2014-02-01,236.185,162.51900000000000,100.7471,137710,5.3
2014-03-01,236.625,163.07900000000000,101.7435,137987,5.2
2014-04-01,237.072,163.38600000000000,101.8273,138298,5.4
2014-05-01,237.529,163.65400000000000,102.2392,138500,5.6
2014-06-01,237.837,164.06200000000000,102.5774,138833,5.6
2014-07-01,238.195,164.58100000000000,102.7954,139076,5.5
2014-08-01,238.405,165.20800000000000,102.6322,139257,5.3
2014-09-01,238.786,165.89900000000000,102.9417,139564,5.5
2014-10-01,239.191,166.63600000000000,102.9611,139804,5.4
2014-11-01,239.458,167.33000000000000,103.5978,140088,5.6
2014-12-01,239.584,168.04400000000000,103.6151,140366,6.0
2015-01-01,239.811,168.62300000000000,102.7923,140562,6.3
2015-02-01,240.172,169.12100000000000,102.1366,140831,6.4
2015-03-01,240.755,169.79100000000000,101.7869,140925,5.9
2015-04-01,241.346,170.29000000000000,101.2255,141202,5.9
2015-05-01,241.688,170.87200000000000,100.7675,141539,5.8
2015-06-01,242.064,171.47100000000000,100.4588,141695,5.7
2015-07-01,242.565,172.14300000000000,101.0893,141989,5.6
2015-08-01,242.817,172.92700000000000,100.9165,142130,5.6
2015-09-01,243.316,173.82000000000000,100.6330,142265,5.8
2015-10-01,243.768,174.78400000000000,100.1563,142584,5.8
2015-11-01,244.241,175.73000000000000,99.4366,142810,5.6
2015-12-01,244.547,176.53300000000000,98.9471,143083,5.8
2016-01-01,244.955,177.25700000000000,99.4391,143196,6.1
2016-02-01,245.510,177.63800000000000,98.9232,143411,5.6
2016-03-01,245.913,178.15500000000000,98.1635,143666,5.9
2016-04-01,246.551,178.75700000000000,98.4775,143856,5.5
2016-05-01,247.137,179.41800000000000,98.2549,143901,5.3
2016-06-01,247.540,180.08200000000000,98.7315,144152,4.9
2016-07-01,247.829,180.84200000000000,98.8452,144515,5.1
2016-08-01,248.423,181.83400000000000,98.7427,144664,5.1
2016-09-01,248.842,182.80800000000000,98.6552,144961,5.1
2016-10-01,249.142,183.73600000000000,98.7237,145069,5.3
2016-11-01,249.481,184.74600000000000,98.3443,145188,5.4
2016-12-01,249.920,185.70900000000000,99.0406,145410,5.0
2017-01-01,250.467,186.78800000000000,98.8158,145636,5.3
2017-02-01,250.998,187.30900000000000,98.4356,145848,5.6
2017-03-01,250.944,187.98500000000000,99.0492,145976,5.6
2017-04-01,251.227,188.71400000000000,100.0416,146173,5.7
2017-05-01,251.430,189.60100000000000,100.1280,146389,6.3
2017-06-01,251.746,190.50200000000000,100.3370,146588,6.0
2017-07-01,251.985,191.44900000000000,100.0865,146772,6.0
2017-08-01,252.535,192.64400000000000,99.6323,146907,6.1
2017-09-01,252.812,193.73900000000000,99.7482,146999,5.9
2017-10-01,253.526,194.78600000000000,100.9893,147146,6.0
2017-11-01,253.816,195.93700000000000,101.2493,147375,5.6
2017-12-01,254.344,197.15800000000000,101.4871,147521,5.0
2018-01-01,255.204,198.29700000000000,101.4852,147667,5.7
2018-02-01,255.711,199.22900000000000,101.7319,148054,5.8
2018-03-01,256.271,199.96600000000000,102.1943,148280,5.9
2018-04-01,256.630,200.65600000000000,103.3551,148426,6.0
2018-05-01,257.145,201.41400000000000,102.3810,148755,6.0
2018-06-01,257.399,202.21900000000000,103.2256,148968,6.3
2018-07-01,257.699,202.89000000000000,103.3561,149023,6.5
2018-08-01,257.891,203.66000000000000,104.0585,149274,6.6
2018-09-01,258.368,204.32000000000000,104.1038,149361,6.8
2018-10-01,258.917,205.08400000000000,103.9297,149525,6.7
2018-11-01,259.439,205.65300000000000,104.0126,149622,6.5
2018-12-01,260.063,206.14000000000000,104.0451,149804,8.4
2019-01-01,260.766,206.53100000000000,103.3598,150062,8.4
2019-02-01,261.186,206.86200000000000,102.8251,150067,8.5
2019-03-01,261.567,207.08200000000000,102.8361,150294,7.9
2019-04-01,261.997,207.53300000000000,102.2748,150602,7.6
2019-05-01,262.217,208.13100000000000,102.4176,150640,7.3
2019-06-01,262.739,208.62000000000000,102.5425,150844,7.1
2019-07-01,263.280,209.20800000000000,102.0057,150934,6.8
2019-08-01,263.877,210.03200000000000,102.7814,151155,6.9
2019-09-01,264.388,210.86800000000000,102.4601,151358,7.0
2019-10-01,264.970,211.72400000000000,101.5878,151458,7.1
2019-11-01,265.548,212.75700000000000,102.1494,151666,6.9
2019-12-01,266.020,213.92500000000000,101.9421,151792,6.2
2020-01-01,266.698,215.02500000000000,101.3372,152045,7.0
2020-02-01,267.402,215.90000000000000,101.6718,152309,7.5
2020-03-01,267.068,216.45900000000000,97.6060,150898,12.4
2020-04-01,265.796,216.85900000000000,84.6812,130421,32.0
2020-05-01,265.461,216.96100000000000,86.0108,133040,22.8
