SCH_ID,X1NCESID,W1MATHTCH,W1SCITCH,W3HSTRANS,X1SEX,X1RACE,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMQUINT,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1OCC_STEM1,X1PAR1OCC_STEM2,X1PAR2OCC_STEM1,X1PAR2OCC_STEM2,X1PAREDU,X1FAMINCOME,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT
-5,-5,58.080616,53.058432,40.256734,2,2,0.2664,0.2489,43.6049,53.5156,4,0.997,0.8562,0.535,0.1095,0.0625,0,-5,-7,-5,5,2,-0.57,1.31,0.1,1.25,-0.33,-1.74,-0.61
-5,-5,48.039016,48.426831,45.227501,1,8,-0.9607,0.2323,26.2709,40.7776,1,0.7332,0.1174,0.0537,0.0426,0.0475,0,-5,0,-5,5,13,0.6,0.67,1.23,1.32,0.66,1.1,1.19
-5,-5,31.830398,16.917799,27.187809,1,8,1.8582,0.2444,62.3449,70.0409,5,1,0.9984,0.9986,0.9232,0.4902,4,-5,0,-5,4,10,1.76,0.9,0.95,1.34,1.27,-0.17,1.71
-5,-5,18.515052,18.664523,16.980831,1,8,0.7483,0.2467,49.5066,58.5181,4,0.9996,0.9584,0.8646,0.2656,0.0922,-8,-5,-8,-5,-8,-8,-1.16,-1.33,-1.41,-1.79,-0.76,-0.46,-1.05
-5,-5,0,0,259.116512,1,5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-5,-7,-5,2,3,-8,-8,-8,-8,-8,-8,-8
-5,-5,659.756532,0,786.189396,2,3,-0.0416,0.2525,39.5345,50.3189,3,0.9895,0.7099,0.3044,0.0733,0.0548,-8,-5,-8,-5,-8,-8,0.6,-0.3,0.1,-1.03,-7,-7,-7
-5,-5,0,400.094703,284.134366,1,5,0.4299,0.2429,45.6397,55.213,4,0.9985,0.9039,0.6668,0.1437,0.0693,0,-5,0,-5,2,1,0,-0.3,-0.56,0.86,0.1,-0.48,0.16
-5,-5,90.092527,0,63.485092,1,8,0.7292,0.2525,49.2775,58.3204,4,0.9996,0.9562,0.8559,0.2557,0.0903,0,-5,-7,-5,3,11,1.16,0.27,1.34,0.85,-7,-7,-7
-5,-5,0,0,259.440672,1,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,242.912989,225.873495,174.640874,2,8,-0.8952,0.2741,27.0732,41.4572,1,0.777,0.1357,0.0585,0.0433,0.0476,0,-5,4,-5,7,7,0.03,0.9,-0.3,0.19,0.71,-0.57,-0.17
-5,-5,68.620734,33.041065,39.892944,2,5,-1.5628,0.3311,20.3619,34.5266,1,0.2361,0.0384,0.0329,0.0385,0.0465,0,-5,0,-5,2,1,-1.13,-7,-7,-7,-7,-7,-7
-5,-5,89.352568,0,76.853644,1,8,-0.9936,0.2585,25.8806,40.4359,1,0.7094,0.1093,0.0515,0.0422,0.0474,0,-5,0,-5,3,2,-1.16,1.31,-0.58,-9,1.69,0.25,-9
